,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,,
1,mp-10167,Na3 Sb1 S4,Na3 Sb1 S4,-0.922581069,-1.1031018,0.180520731,-0.9831018,0.060520731,,
2,mp-18309,Ba8 Cd4 S12,Ba2 Cd1 S3,-1.849119346,-1.9380214,0.088902054,-1.8180214,0.031097946,,
3,mp-1218062,Ta3 W1 S8,Ta3 W1 S8,-1.305321244,-1.4244161,0.119094856,-1.3044161,0.000905144,,
4,mp-1226019,Co5 Ni1 S8,Co5 Ni1 S8,-0.729589524,-0.801447,0.071857476,-0.681447,0.048142524,,
5,mp-1103098,Bi4 Rh4 S4,Bi1 Rh1 S1,-0.577471907,-0.6662292,0.088757293,-0.5462292,0.031242707,,
6,mp-5546,Cu16 Ge2 S12,Cu8 Ge1 S6,-0.366766826,-0.46274698,0.095980154,-0.34274698,0.024019846,,
7,mp-16684,Pr4 Cu4 S8,Pr1 Cu1 S2,-1.592968757,-1.7434281,0.150459343,-1.6234281,0.030459343,,
8,mp-18101,K8 Cd12 S16,K2 Cd3 S4,-1.008943851,-1.1425558,0.133611949,-1.0225558,0.013611949,,
10,mp-1446023,Zn1 Fe4 S8,Zn1 Fe4 S8,-0.634408972,-0.74687755,0.112468578,-0.62687755,0.007531422,,
11,mp-1228522,Al4 Zn4 S10,Al2 Zn2 S5,-1.126659506,-1.338595,0.211935494,-1.218595,0.091935494,,
12,mp-1410970,Ti4 Zn2 S8,Ti2 Zn1 S4,-1.47338023,-1.6108528,0.13747257,-1.4908528,0.01747257,,
13,mp-5942,Na4 As4 S8,Na1 As1 S2,-0.707075465,-0.96336985,0.256294385,-0.84336985,0.136294385,,
14,mp-28856,Na28 Au20 S24,Na7 Au5 S6,-0.905676583,-0.9808456,0.075169017,-0.8608456,0.044830983,,
16,mp-1221529,Mn2 Zn2 S8,Mn1 Zn1 S4,-0.649687342,-0.8806498,0.230962458,-0.7606498,0.110962458,,
17,mp-675590,Cu6 Bi1 S6,Cu6 Bi1 S6,-0.397421729,-0.49848145,0.101059721,-0.37848145,0.018940279,,
18,mp-1209063,Re4 As5 S4,Re4 As5 S4,-0.483128132,-0.5680287,0.084900568,-0.4480287,0.035099432,,
19,mp-608653,As16 Pb16 S40,As2 Pb2 S5,-0.579079361,-0.6646265,0.085547139,-0.5446265,0.034452861,,
20,mp-985304,Cr1 Ga2 S4,Cr1 Ga2 S4,-0.890696919,-1.0482866,0.157589681,-0.9282866,0.037589681,,
21,mp-769032,Li12 Nb4 S16,Li3 Nb1 S4,-1.395939861,-1.5027546,0.106814739,-1.3827546,0.013185261,,
22,mp-30958,Ca12 B24 S48,Ca1 B2 S4,-1.167237051,-1.2656868,0.098449749,-1.1456868,0.021550251,,
23,mp-1225724,Dy2 Cu6 S6,Dy1 Cu3 S3,-1.007664625,-1.1440525,0.136387875,-1.0240525,0.016387875,,
24,mp-7936,Li2 Nb2 S4,Li1 Nb1 S2,-1.553966813,-1.6183765,0.064409687,-1.4983765,0.055590313,,
26,mp-1104381,Ni2 Rh4 S8,Ni1 Rh2 S4,-0.73733214,-0.838615,0.10128286,-0.718615,0.01871714,,
27,mp-561122,Gd4 Sn2 S10,Gd2 Sn1 S5,-1.636775684,-1.8502471,0.213471416,-1.7302471,0.093471416,,
28,mp-1193022,Nb8 Co4 S16,Nb2 Co1 S4,-0.956008752,-1.0957526,0.139743848,-0.9757526,0.019743848,,
29,mp-676156,Gd5 Ag1 S8,Gd5 Ag1 S8,-2.06796538,-2.224508,0.15654262,-2.104508,0.03654262,,
30,mp-675779,Li4 Mo6 S8,Li2 Mo3 S4,-1.072307763,-1.2087905,0.136482737,-1.0887905,0.016482737,,
31,mp-1192540,Nb8 Ni2 S16,Nb4 Ni1 S8,-1.30577194,-1.3798877,0.07411576,-1.2598877,0.04588424,,
32,mp-7355,Sm4 Sn2 S10,Sm2 Sn1 S5,-1.741123372,-1.8742,0.133076628,-1.7542,0.013076628,,
33,mp-540773,Ca8 Ge4 S16,Ca2 Ge1 S4,-1.681674162,-1.7785248,0.096850638,-1.6585248,0.023149362,,
34,mp-1120718,Mg1 Zn3 S4,Mg1 Zn3 S4,-1.199073152,-1.2930819,0.094008748,-1.1730819,0.025991252,,
35,mp-1227503,Ca2 In4 S8,Ca1 In2 S4,-1.189811307,-1.3712946,0.181483293,-1.2512946,0.061483293,,
36,mp-1216547,Tm4 Mg1 S7,Tm4 Mg1 S7,-2.223401154,-2.3324926,0.109091446,-2.2124926,0.010908554,,
37,mp-1217360,Ti1 Cr2 S4,Ti1 Cr2 S4,-1.206466263,-1.3075341,0.101067837,-1.1875341,0.018932163,,
38,mp-29829,Li4 Au4 S4,Li1 Au1 S1,-0.838343984,-0.94919956,0.110855576,-0.82919956,0.009144424,,
39,mp-1104219,Sm2 Ga4 S8,Sm1 Ga2 S4,-1.296048595,-1.5130597,0.217011105,-1.3930597,0.097011105,,
40,mp-1395289,Zn2 Fe4 S8,Zn1 Fe2 S4,-0.731873702,-0.825808,0.093934298,-0.705808,0.026065702,,
41,mp-15790,Li1 Ho1 S2,Li1 Ho1 S2,-2.120153312,-2.2077525,0.087599188,-2.0877525,0.032400812,,
42,mp-541879,Rb8 Ge8 S20,Rb2 Ge2 S5,-1.054428829,-1.146359,0.091930171,-1.026359,0.028069829,,
43,mp-1104347,Lu1 Mo6 S8,Lu1 Mo6 S8,-0.989886605,-1.2248762,0.234989595,-1.1048762,0.114989595,,
44,mp-977592,Bi4 Rh6 S4,Bi2 Rh3 S2,-0.532897817,-0.6144189,0.081521083,-0.4944189,0.038478917,,
45,mp-1068941,K2 Pd1 S2,K2 Pd1 S2,-1.068325833,-1.2252151,0.156889267,-1.1052151,0.036889267,,
46,mp-1102284,Sb4 Pd4 S4,Sb1 Pd1 S1,-0.620789495,-0.84259653,0.221807035,-0.72259653,0.101807035,,
47,mp-1189323,Zr10 Sb6 S2,Zr5 Sb3 S1,-1.057587133,-1.0134298,-0.044157333,-0.8934298,0.164157333,,
48,mp-867739,Nb6 Ge2 S12,Nb3 Ge1 S6,-1.282566916,-1.3051312,0.022564284,-1.1851312,0.097435716,,
50,mp-1040470,Li2 Fe4 S8,Li1 Fe2 S4,-0.804695609,-0.9041168,0.099421191,-0.7841168,0.020578809,,
51,mp-760375,Li3 V1 S4,Li3 V1 S4,-1.359742846,-1.4411778,0.081434954,-1.3211778,0.038565046,,
52,mp-1199965,Ge12 Rh8 S12,Ge3 Rh2 S3,-0.726597739,-0.838903,0.112305261,-0.718903,0.007694739,,
53,mp-1066131,Y1 Tl1 S2,Y1 Tl1 S2,-1.726999907,-1.9067869,0.179786993,-1.7867869,0.059786993,,
54,mp-22303,Rb6 In2 S6,Rb3 In1 S3,-1.256511265,-1.3120224,0.055511135,-1.1920224,0.064488865,,
55,mp-3647,Li4 Ga4 S8,Li1 Ga1 S2,-1.187989849,-1.3631912,0.175201351,-1.2431912,0.055201351,,
56,mp-1226713,Ce1 Dy4 S7,Ce1 Dy4 S7,-2.34928957,-2.4335585,0.08426893,-2.3135585,0.03573107,,
57,mp-1211293,La2 Y6 S12,La1 Y3 S6,-2.438558226,-2.538033,0.099474774,-2.418033,0.020525226,,
59,mp-1045465,Y2 Ti4 S8,Y1 Ti2 S4,-1.854004145,-1.9602704,0.106266255,-1.8402704,0.013733745,,
60,mp-541447,K12 Fe8 S16,K3 Fe2 S4,-0.904181758,-1.1655923,0.261410542,-1.0455923,0.141410542,,
61,mp-1196123,Nd8 Hf4 S20,Nd2 Hf1 S5,-2.186686634,-2.3293717,0.142685066,-2.2093717,0.022685066,,
62,mp-1103410,Bi6 Te4 S2,Bi3 Te2 S1,-0.436967077,-0.4576754,0.020708323,-0.3376754,0.099291677,,
64,mp-1238827,Cr4 Ag2 S8,Cr2 Ag1 S4,-0.83287382,-0.9822997,0.14942588,-0.8622997,0.02942588,,
65,mp-28134,Ba16 As16 S40,Ba2 As2 S5,-1.368440025,-1.4410787,0.072638675,-1.3210787,0.047361325,,
66,mp-13993,Ti3 Ni1 S6,Ti3 Ni1 S6,-1.493373888,-1.6217333,0.128359412,-1.5017333,0.008359412,,
67,mp-685513,Pr24 Mn4 S40,Pr6 Mn1 S10,-2.1721191,-2.2301295,0.0580104,-2.1101295,0.0619896,,
68,mp-1101049,Ti5 Tl1 S8,Ti5 Tl1 S8,-1.598436031,-1.6978139,0.099377869,-1.5778139,0.020622131,,
69,mp-1224757,In16 Bi12 S40,In4 Bi3 S10,-0.741475463,-0.8437144,0.102238937,-0.7237144,0.017761063,,
70,mp-1926096,Al2 Fe4 S8,Al1 Fe2 S4,-0.847645239,-0.9542277,0.106582461,-0.8342277,0.013417539,,
71,mp-756187,Li4 Fe2 S4,Li2 Fe1 S2,-1.088722242,-1.1900434,0.101321158,-1.0700434,0.018678842,,
72,mp-755664,Li4 Ta6 S12,Li2 Ta3 S6,-1.523826133,-1.6223253,0.098499167,-1.5023253,0.021500833,,
73,mp-1224971,Fe1 Co1 S2,Fe1 Co1 S2,-0.507244291,-0.6040985,0.096854209,-0.4840985,0.023145791,,
74,mp-767409,Li5 Sb1 S1,Li5 Sb1 S1,-0.983972498,-1.0218076,0.037835102,-0.9018076,0.082164898,,
75,mp-5481,Na12 Co2 S8,Na6 Co1 S4,-1.073648743,-1.1459111,0.072262357,-1.0259111,0.047737643,,
76,mp-1220141,Ni16 Bi16 S2,Ni8 Bi8 S1,-0.15711847,-0.17312106,0.01600259,-0.05312106,0.10399741,,
77,mp-15782,K1 Pr1 S2,K1 Pr1 S2,-2.111293943,-2.178193,0.066899057,-2.058193,0.053100943,,
78,mp-2210635,Mg1 Mn1 S2,Mg1 Mn1 S2,-1.086558794,-1.2021002,0.115541406,-1.0821002,0.004458594,,
79,mp-8630,Sb4 Ir4 S4,Sb1 Ir1 S1,-0.593002124,-0.6922434,0.099241276,-0.5722434,0.020758724,,
80,mp-20767,Fe4 Sb8 S16,Fe1 Sb2 S4,-0.494868819,-0.61985135,0.124982531,-0.49985135,0.004982531,,
81,mp-1227486,Bi4 Sb4 S12,Bi1 Sb1 S3,-0.603994315,-0.7069636,0.102969285,-0.5869636,0.017030715,,
82,mp-20775,Ce4 Dy4 S12,Ce1 Dy1 S3,-2.4036576,-2.4667244,0.0630668,-2.3467244,0.0569332,,
83,mp-542596,Hg4 Sb16 S32,Hg1 Sb4 S8,-0.520913272,-0.59478027,0.073866998,-0.47478027,0.046133002,,
85,mp-642190,Ni6 Bi4 S4,Ni3 Bi2 S2,-0.457811594,-0.54026264,0.082451046,-0.42026264,0.037548954,,
86,mp-1188689,Nd2 Y6 S12,Nd1 Y3 S6,-2.399530016,-2.5046716,0.105141584,-2.3846716,0.014858416,,
87,mp-1193767,Hf18 W8 S2,Hf9 W4 S1,-0.313783708,-0.3414295,0.027645792,-0.2214295,0.092354208,,
88,mp-1024069,Na4 Zn6 S8,Na2 Zn3 S4,-1.00556495,-1.1408819,0.13531695,-1.0208819,0.01531695,,
89,mp-5694,Na1 Ho1 S2,Na1 Ho1 S2,-2.134603063,-2.196968,0.062364937,-2.076968,0.057635063,,
90,mp-1101752,Pr4 As4 S4,Pr1 As1 S1,-1.717031261,-1.7888124,0.071781139,-1.6688124,0.048218861,,
91,mp-558967,K12 Ta8 S44,K3 Ta2 S11,-1.190958906,-1.3330183,0.142059394,-1.2130183,0.022059394,,
92,mp-1223529,K1 Cu7 S4,K1 Cu7 S4,-0.452629962,-0.51780766,0.065177698,-0.39780766,0.054822302,,
93,mp-1220620,Nb3 W1 S8,Nb3 W1 S8,-1.281164308,-1.3527944,0.071630092,-1.2327944,0.048369908,,
94,mp-1219601,Sb1 Pb3 S4,Sb1 Pb3 S4,-0.598754217,-0.77559423,0.176840013,-0.65559423,0.056840013,,
95,mp-504951,In6 Ga6 S18,In1 Ga1 S3,-0.779560963,-1.047574,0.268013037,-0.927574,0.148013037,,
96,mp-1078726,Cs2 Ho2 S4,Cs1 Ho1 S2,-2.119185275,-2.187675,0.068489725,-2.067675,0.051510275,,
97,mp-1193583,Ba4 Ho8 S16,Ba1 Ho2 S4,-2.419589662,-2.5296772,0.110087538,-2.4096772,0.009912462,,
98,mp-12455,Tm4 Cu4 S8,Tm1 Cu1 S2,-1.590929365,-1.7142859,0.123356535,-1.5942859,0.003356535,,
99,mp-1179796,Rb4 Co6 S8,Rb2 Co3 S4,-0.851017321,-0.987857,0.136839679,-0.867857,0.016839679,,
100,mp-12843,S8 Cu4 Y4,S2 Cu1 Y1,-1.590693927,-1.7302217,0.139527773,-1.6102217,0.019527773,,
101,mp-23012,Bi4 Pd6 S4,Bi2 Pd3 S2,-0.521839821,-0.596619,0.074779179,-0.476619,0.045220821,,
102,mp-756173,Li10 Fe2 S8,Li5 Fe1 S4,-1.266473599,-1.3417475,0.075273901,-1.2217475,0.044726099,,
103,mp-542627,Fe8 Ag4 S12,Fe2 Ag1 S3,-0.505214399,-0.62941813,0.124203731,-0.50941813,0.004203731,,
104,mp-1191757,La8 Co2 S14,La4 Co1 S7,-1.985576255,-2.145708,0.160131745,-2.025708,0.040131745,,
105,mp-1218053,Ta6 Cu4 S12,Ta3 Cu2 S6,-1.170482334,-1.261113,0.090630666,-1.141113,0.029369334,,
106,mp-1232223,Ce8 Mg4 S16,Ce2 Mg1 S4,-2.067469661,-2.1013367,0.033867039,-1.9813367,0.086132961,,
107,mp-541378,Cs4 Bi4 S8,Cs1 Bi1 S2,-0.994317065,-1.1117939,0.117476835,-0.9917939,0.002523165,,
108,mp-3930,Sc4 Mn2 S8,Sc2 Mn1 S4,-1.90104308,-1.9524004,0.05135732,-1.8324004,0.06864268,,
109,mp-1212338,Ho12 Cr4 S24,Ho3 Cr1 S6,-2.019785834,-2.1317701,0.111984266,-2.0117701,0.008015734,,
110,mp-3787,Rb2 Fe4 S6,Rb1 Fe2 S3,-0.935672357,-0.98450303,0.048830673,-0.86450303,0.071169327,,
111,mp-1219680,Rb1 Nb6 S8,Rb1 Nb6 S8,-1.396766277,-1.4818816,0.085115323,-1.3618816,0.034884677,,
112,mp-27255,Ga4 Te2 S4,Ga2 Te1 S2,-0.686105887,-0.8467712,0.160665313,-0.7267712,0.040665313,,
113,mp-1196179,Tm16 Cr8 S32,Tm2 Cr1 S4,-1.871840243,-1.9696345,0.097794257,-1.8496345,0.022205743,,
114,mp-1195809,Gd8 Hf4 S20,Gd2 Hf1 S5,-2.146883804,-2.3154492,0.168565396,-2.1954492,0.048565396,,
115,mp-9361,Rb1 La1 S2,Rb1 La1 S2,-2.140519784,-2.2833986,0.142878816,-2.1633986,0.022878816,,
116,mp-27124,Cu4 Bi5 S10,Cu4 Bi5 S10,-0.552466881,-0.64693373,0.094466849,-0.52693373,0.025533151,,
117,mp-2492941,Li4 Nb2 S6,Li2 Nb1 S3,-1.399196627,-1.4904149,0.091218273,-1.3704149,0.028781727,,
118,mp-629690,Bi4 Pb6 S12,Bi2 Pb3 S6,-0.729781429,-0.80164057,0.071859141,-0.68164057,0.048140859,,
119,mp-753974,Li16 Cr2 S12,Li8 Cr1 S6,-1.351963786,-1.4557973,0.103833514,-1.3357973,0.016166486,,
120,mp-1172905,Ag3 Bi3 S6,Ag1 Bi1 S2,-0.486879749,-0.55601263,0.069132881,-0.43601263,0.050867119,,
121,mp-561902,Cs2 Ag6 S4,Cs1 Ag3 S2,-0.498488322,-0.61858267,0.120094348,-0.49858267,9.43E-05,,
122,mp-863748,Tb4 B4 S12,Tb1 B1 S3,-1.516608375,-1.6539946,0.137386225,-1.5339946,0.017386225,,
123,mp-29705,Rb24 Sn8 S28,Rb6 Sn2 S7,-1.228317907,-1.2820644,0.053746493,-1.1620644,0.066253507,,
124,mp-29410,Li4 B4 S10,Li2 B2 S5,-0.995566415,-1.1041371,0.108570685,-0.9841371,0.011429315,,
125,mp-766422,Li12 Bi4 S16,Li3 Bi1 S4,-1.022543279,-1.1219839,0.099440621,-1.0019839,0.020559379,,
126,mp-20025,Mn1 Ga2 S4,Mn1 Ga2 S4,-0.925073554,-1.0502759,0.125202346,-0.9302759,0.005202346,,
127,mp-680181,Bi16 Pb16 S40,Bi2 Pb2 S5,-0.699803611,-0.7718166,0.072012989,-0.6518166,0.047987011,,
128,mp-1224365,K3 In21 S24,K1 In7 S8,-0.85332007,-0.948926,0.09560593,-0.828926,0.02439407,,
129,mp-19833,In2 Ag2 S4,In1 Ag1 S2,-0.559127425,-0.77191865,0.212791225,-0.65191865,0.092791225,,
130,mp-30239,Sr6 B4 S12,Sr3 B2 S6,-1.667462778,-1.7654076,0.097944822,-1.6454076,0.022055178,,
131,mp-1224121,Hf1 Zr1 S6,Hf1 Zr1 S6,-1.569317189,-1.7393655,0.170048311,-1.6193655,0.050048311,,
132,mp-1194276,Ca4 Ho8 S16,Ca1 Ho2 S4,-2.405929086,-2.50631,0.100380914,-2.38631,0.019619086,,
133,mp-1218051,Ta4 Mo1 S8,Ta4 Mo1 S8,-1.23441366,-1.349198,0.11478434,-1.229198,0.00521566,,
134,mp-1223584,K4 Bi12 S20,K1 Bi3 S5,-0.836971434,-0.920588,0.083616566,-0.800588,0.036383434,,
135,mp-15791,Li1 Er1 S2,Li1 Er1 S2,-2.121399676,-2.210228,0.088828324,-2.090228,0.031171676,,
136,mp-1192454,Ti2 Nb8 S16,Ti1 Nb4 S8,-1.525464076,-1.592604,0.067139924,-1.472604,0.052860076,,
137,mp-1025263,Ti2 Ni1 S4,Ti2 Ni1 S4,-1.42996627,-1.5347897,0.10482343,-1.4147897,0.01517657,,
138,mp-1216628,Tm4 Mn1 S7,Tm4 Mn1 S7,-2.073130118,-2.1776617,0.104531582,-2.0576617,0.015468418,,
139,mp-1194339,Li12 Sb4 S12,Li3 Sb1 S3,-1.170994167,-1.2382345,0.067240333,-1.1182345,0.052759667,,
140,mp-1201533,K36 Fe4 S28,K9 Fe1 S7,-1.069821285,-1.2572728,0.187451515,-1.1372728,0.067451515,,
141,mp-1216175,Y4 Fe1 S7,Y4 Fe1 S7,-1.984946933,-2.0986686,0.113721667,-1.9786686,0.006278333,,
142,mp-8947,Sr4 B8 S16,Sr1 B2 S4,-1.233453989,-1.3312688,0.097814811,-1.2112688,0.022185189,,
143,mp-1211986,K8 Hg12 S16,K2 Hg3 S4,-0.758335309,-0.8382917,0.079956391,-0.7182917,0.040043609,,
144,mp-1200447,La8 Y8 S24,La1 Y1 S3,-2.46285816,-2.5553138,0.09245564,-2.4353138,0.02754436,,
